code,description,fee
0298U,Onc pan tum whl trns seq rna,2919.6
0299U,Onc pan tum whl gen opt mapg,1863.22
0300U,Onc pan tum whl gen seq&opt,4183.13
0301U,Iadna bartonella ddpcr,262.72
0302U,Iadna brtnla ddpcr flwg liq,361.37
0303U,Hem rbc ads whl bld hypoxic,2201.62
0304U,Hem rbc ads whl bld normoxic,2075.8
0305U,Hem rbc fnclty&dfrm shr strs,662.58
0306U,Onc mrd nxt-gnrj alys 1st,3878.45
0307U,Onc mrd nxt-gnrj alys sbsq,794.49
0308U,Crd cad alys 3 prtn 3 param,390.75
0309U,Crd cv ds aly 4 prtn plm alg,390.75
0310U,Ped vsclts kd alys 3 bmrks,390.75
0311U,Nfct ds bct quan antmcrb sc,8.08
0312U,Ai ds sle alys 8 igg autoant,840.65
0313U,Onc pncrs dna&mrna seq 74,3600.0
0314U,Onc cutan mlnma mrna 35 gene,1950.0
0315U,Onc cutan sq cll ca mrna 40,8500.0
0316U,B brgdrferi lyme ds ospa evl,18.66
0317U,Onc lung ca 4-prb fish assay,2030.0
0318U,Ped whl gen mthyltn alys 50+,1770.48
0319U,Neph rna pretrnspl perph bld,2650.0
0320U,Neph rna psttrnspl perph bld,2650.0
0321U,Iadna gu pthgn 20bct&fng org,634.84
0322U,Neuro asd meas 14 acyl carn,750.0
0323U,Iadna cns pthgn next gen seq,2126.2
0326U,Trgt gen seq alys pnl 83+,5000.0
0327U,Ftl aneuploidy trsmy dna seq,795.0
0328U,Drug assay 120+ rx&metablt,114.43
0329U,Onc neo xome&trns seq alys,3437.98
0330U,Iadna vag pthgn panel 27 org,416.78
0331U,Onc hl neo opt gen mapping,1863.22
0332U,Onc pan tum gen prflg 8 dna,1142.06
0333U,Onc lvr surveilanc hcc cfdna,662.32
0334U,Onc sld orgn tgsa dna 84/+,3500.0
0335U,Rare ds whl gen seq feta,5224.6
0336U,Rare ds whl gen seq bld/slv,2574.65
0337U,Onc plsm cell do&myeloma id,2435.0
0338U,Onc sld tum crcg tum cl slct,2435.0
0339U,Onc prst8 mrna hoxc6 & dlx1,760.0
0340U,Onc pan ca alys mrd plasma,3590.0
0341U,Ftl aneup dna seq cmpr alys,1900.2
0342U,Onc pncrtc ca mult ia eclia,897.0
0343U,Onc prst8 xom aly 442 sncrna,760.0
0344U,Hep nafld semiq evl 28 lipid,792.17
0345U,Psyc genom alys pnl 15 gen,1336.09
0347U,Rx metab/pcx dna 16 gen alys,1336.09
0348U,Rx metab/pcx dna 25 gen alys,742.27
